Game ID,SteamDB score
523440,-1
522880,79.10%
522890,65.93%
522900,-1
522940,82.16%
522950,68.15%
522960,43.95%
522990,73.45%
523000,87.18%
523030,75.46%
523050,-1
523060,57.39%
523070,61.95%
523080,53.23%
523090,75.95%
523110,56.40%
523120,62.42%
523150,78.68%
523160,70.78%
523170,70.64%
523180,60.76%
523190,40.34%
523210,83.86%
523220,55.69%
522470,86.21%
522490,85.62%
522530,63.21%
522570,38.88%
522590,45.06%
522610,63.45%
522660,39.85%
522690,46.90%
522700,56.05%
522710,-1
522730,67.75%
522740,47.85%
521920,82.92%
521950,77.63%
521980,44.39%
521990,59.10%
522000,64.78%
522010,75.09%
522020,73.03%
522030,62.24%
522040,84.97%
522070,-1
522080,54.48%
522090,40.31%
522130,78.13%
522200,38.31%
522210,81.75%
522230,68.41%
522240,76.08%
522250,58.09%
522280,70.44%
522300,64.07%
522340,81.65%
521500,74.90%
521510,63.45%
521560,70.68%
521570,84.26%
521580,66.11%
521590,59.38%
521630,78.45%
521650,57.39%
521660,59.97%
521670,63.45%
521680,61.95%
521690,68.97%
521700,37.49%
521710,42.04%
521720,73.27%
521730,56.53%
521740,62.51%
521760,73.57%
521790,64.25%
521800,75.49%
521860,65.57%
521880,74.40%
521000,59.97%
521090,64.87%
521110,-1
521130,80.43%
521140,44.31%
521150,80.70%
521200,91.24%
521210,74.39%
521230,62.64%
521250,-1
521280,76.18%
521300,-1
521320,66.94%
521330,66.71%
521340,65.64%
521350,80.16%
521380,-1
521420,47.89%
521450,57.02%
521470,83.37%
520660,65.82%
520670,65.77%
520680,43.47%
520720,73.75%
520750,76.13%
520810,50.00%
520820,76.65%
520840,54.69%
520850,83.61%
520860,63.97%
520930,75.10%
520940,68.71%
520990,68.69%
520210,43.68%
520230,-1
520250,51.57%
520270,61.50%
520290,67.58%
520300,64.78%
520350,52.78%
520370,66.76%
520380,43.80%
520440,90.13%
520470,64.27%
520510,65.42%
520520,44.78%
520540,74.53%
520590,-1
520600,60.90%
520610,72.36%
520080,50.00%
520120,59.43%
520150,72.21%
519860,95.27%
519870,76.97%
519890,66.76%
519940,66.25%
519980,66.66%
519990,30.41%
520010,87.26%
520040,57.39%
519540,64.78%
519550,-1
519490,36.55%
519020,58.33%
519030,61.41%
519080,81.46%
519140,68.06%
519160,56.32%
519170,48.96%
519180,26.11%
519190,62.37%
519200,64.76%
518280,68.94%
518320,-1
518580,89.81%
518610,62.10%
518620,33.97%
518640,-1
518650,78.34%
